user_id,email,first_name,last_name,username,phone,country_code,password,date_joined
9,prashant@hotmail.com,Prashant,Mishra,pmm,7977034294,+91,prashant,2022-01-20 11:26:41.942178+00:00
10,deepak@hotmail.com,Deepak,Sharma,ds,9768095316,+91,deepak,2022-01-20 11:26:41.942178+00:00
11,somdip.sen@hotmail.com,Somdip,Sen,somdip.sen53,9768095316,+91,somdip,2022-01-20 11:26:41.942178+00:00
12,megha.sarkar@hotmail.com,Megha,Sarkar,megha.sarkar90,9930595487,+91,megha,2022-03-03 06:43:55.916105+00:00
13,pranit.tambde@gmx.com,Pranit,Tambde,pranit.tambde58,9596095779,+91,pranit,2022-02-24 18:13:24.765530+00:00
14,plabita.@mail.com,Plabita,,plabita.91,9110095795,+91,plabita,2021-08-25 13:39:51.428102+00:00
15,rushikesh.chavan@protonmail.com,Rushikesh,Chavan,rushikesh.chavan34,9220907157,+91,rushikesh,2021-09-28 17:28:44.525401+00:00
16,sekhar.ng@yandex.com,Sekhar,Ng,sekhar.ng96,9409607707,+91,sekhar,2022-02-17 15:25:03.807875+00:00
17,subrahmanya.suhas appajodu@icloud.com,Subrahmanya,Suhas Appajodu,subrahmanya.suhas appajodu78,9311265076,+91,subrahmanya,2020-10-20 11:27:17.704437+00:00
18,akshay.dighe@gmx.us,Akshay,Dighe,akshay.dighe67,9080904058,+91,akshay,2021-09-03 11:46:31.062104+00:00
19,akshay.bairagi@hotmail.com,Akshay,Bairagi,akshay.bairagi74,9332053991,+91,akshay,2021-12-13 12:21:51.995139+00:00
20,madhu.vuchuru@aol.com,Madhu,Vuchuru,madhu.vuchuru01,9079263542,+91,madhu,2021-02-01 12:26:57.890603+00:00
21,ashwin.ramnath@yopmail.com,Ashwin,Ramnath,ashwin.ramnath36,9320263478,+91,ashwin,2021-09-02 06:48:28.417584+00:00
22,ankit.sen@rediffmail.com,Ankit,Sen,ankit.sen57,9842524728,+91,ankit,2021-12-06 08:39:04.413020+00:00
23,swarupananda.mohanty@gmx.us,Swarupananda,Mohanty,swarupananda.mohanty04,9718067181,+91,swarupananda,2021-02-15 08:05:59.600218+00:00
24,dishant.singla@protonmail.com,Dishant,Singla,dishant.singla89,9985372731,+91,dishant,2021-09-09 10:27:21.150704+00:00
25,rohit.garg@gmx.com,Rohit,Garg,rohit.garg53,9244460907,+91,rohit,2021-07-16 07:10:03.233258+00:00
26,j n.v thrinadh@gmx.us,J N,V Thrinadh,j n.v thrinadh32,9784587681,+91,j n,2021-04-01 09:32:25.872212+00:00
27,asmita.chhanchure@gmx.de,Asmita,Chhanchure,asmita.chhanchure88,9975678833,+91,asmita,2021-09-21 05:49:10.843023+00:00
28,kiran.hegde@gmx.us,Kiran,Hegde,kiran.hegde78,9283344047,+91,kiran,2021-09-07 08:51:15.703279+00:00
